#PARAMETRY: 
Nazwa testu: 	ABCD
Data testu: 	2019-5-12_22:39:45.csv
Protokół: 	UDP (0)
Rozmiar pakietu: 	1000
#POMIARY: 
No, zadana_przepływność, polozenie, poziom_sygnału, jakość_linku, odebrane_pakiety, przepływność, stracone_pakiety, flaga_zamiany, flaga_błędu, ber
1,100,167.082750,-43,67,14723,117.784000,1,false,false,100.000000
2,100,169.712500,-43,67,10920,87.360000,0,false,false,100.000000
3,100,178.543750,-43,67,13463,107.704000,0,false,false,100.000000
4,100,187.885250,-43,67,12781,102.248000,0,false,false,100.000000
5,100,191.143000,-43,67,12024,96.192000,0,false,false,100.000000
6,100,196.991250,-43,67,12624,100.992000,0,false,false,100.000000
7,100,204.566500,-43,67,12696,101.568000,0,false,false,100.000000
8,100,215.556500,-43,67,12348,98.784000,0,false,false,100.000000
9,100,225.212000,-43,67,12570,100.560000,0,false,false,100.000000
10,100,234.278750,-43,67,12354,98.832000,0,false,false,100.000000
11,100,238.988750,-43,67,12660,101.280000,0,false,false,100.000000
12,100,247.545250,-43,67,12288,98.304000,0,false,false,100.000000
13,100,252.530000,-43,67,12552,100.416000,0,false,false,100.000000
14,100,259.987500,-43,67,12718,101.744000,3,false,true,100.000000
15,100,269.172000,-43,67,12252,98.016000,0,false,false,100.000000
16,100,273.842750,-43,67,12552,100.416000,0,false,false,100.000000
17,100,283.262750,-43,67,12492,99.936000,0,false,false,100.000000
18,100,283.262750,-42,68,12468,99.744000,0,false,false,100.000000
19,100,283.262750,-42,68,12612,100.896000,49,false,true,100.000000
20,100,283.262750,-42,68,12264,98.112000,0,false,false,100.000000
21,100,283.262750,-43,67,12516,100.128000,0,false,false,100.000000
22,20,283.262750,-43,67,5548,44.384000,0,false,false,100.000000
23,20,289.974500,-45,65,2176,17.408000,0,false,false,100.000000
24,20,296.450750,-45,65,2723,21.784000,0,false,false,100.000000
25,20,302.456000,-45,65,2499,19.992000,0,false,false,100.000000
26,20,307.401500,-45,65,2412,19.296000,0,false,false,100.000000
27,20,312.543250,-45,65,2550,20.400000,0,false,false,100.000000
28,20,318.548500,-45,65,2534,20.272000,0,false,false,100.000000
29,20,326.477000,-45,65,2446,19.568000,0,false,false,100.000000
30,20,330.441250,-45,65,2556,20.448000,0,false,false,100.000000
31,20,337.231500,-45,65,2456,19.648000,0,false,false,100.000000
32,20,342.334000,-45,65,2526,20.208000,0,false,false,100.000000
33,20,344.806750,-45,65,2488,19.904000,0,false,false,100.000000
34,20,349.948500,-42,68,2476,19.808000,0,false,false,100.000000
35,20,353.598750,-43,67,2534,20.272000,0,false,false,100.000000
36,50,354.030500,-43,67,4376,35.008000,0,false,false,100.000000
37,50,359.878750,-43,67,5418,43.344000,0,false,false,100.000000
38,50,367.022250,-43,67,6360,50.880000,0,false,false,100.000000
39,50,369.534250,-42,68,6540,52.320000,0,false,false,100.000000
40,50,377.580500,-42,68,5928,47.424000,0,false,false,100.000000
41,50,381.623250,-42,68,6576,52.608000,0,false,false,100.000000
42,50,390.336750,-42,68,6114,48.912000,0,false,false,100.000000
43,50,395.360750,-42,68,6246,49.968000,0,false,false,100.000000
44,50,399.403500,-47,63,6336,50.688000,0,false,false,100.000000
45,50,405.722750,-47,63,6090,48.720000,0,false,false,100.000000
46,50,411.885000,-47,63,6294,50.352000,0,false,false,100.000000
47,50,416.791250,-47,63,6318,50.544000,0,false,false,100.000000
48,50,424.091750,-47,63,6192,49.536000,0,false,false,100.000000
49,50,431.156750,-46,64,6276,50.208000,0,false,false,100.000000
50,250,431.156750,-46,64,11250,90.000000,0,false,false,100.000000
51,250,436.965750,-46,64,29295,234.360000,0,false,false,100.000000
52,250,439.595500,-46,64,29140,233.120000,0,false,false,100.000000
53,250,443.285000,-46,64,33356,266.848000,0,false,false,100.000000
54,250,449.800500,-46,64,31155,249.240000,0,false,false,100.000000
55,250,458.160750,-46,64,30752,246.016000,0,false,false,100.000000
56,250,465.853750,-46,64,31372,250.976000,0,false,false,100.000000
57,250,472.958000,-46,64,31279,250.232000,0,false,false,100.000000
58,250,477.903500,-46,64,31217,249.736000,0,false,false,100.000000
59,250,481.043500,-46,64,31527,252.216000,0,false,false,100.000000
60,250,487.833750,-46,64,30876,247.008000,0,false,false,100.000000
61,250,496.272500,-46,64,31186,249.488000,0,false,false,100.000000
62,250,508.047500,-43,67,31398,251.184000,0,false,false,100.000000
63,250,516.839500,-43,67,31385,251.080000,0,false,false,100.000000
64,250,524.768000,-43,67,31085,248.680000,0,false,false,100.000000
65,250,524.768000,-42,68,30659,245.272000,0,false,false,100.000000
66,250,524.768000,-42,68,24150,193.200000,0,false,false,100.000000
