#PARAMETRY: 
Nazwa testu;ABCD
Data testu;2019-5-13_13:17:31.csv
Protokol;UDP (0)
Rozmiar pakietu;1000
#POMIARY: 
No; zadana_przeplywnosc; polozenie; poziom_sygnalu; jakosc_linku; odebrane_pakiety; przepływność; stracone_pakiety; flaga_zamiany; flaga_błledu; ber
1;100;100.000000;-39;70;14744;117.952000;5;false;true;100.000000
2;100;100.000000;-39;70;10944;87.552000;0;false;false;100.000000
3;100;101.491500;-37;70;13188;105.504000;0;false;false;100.000000
4;100;105.769750;-37;70;12756;102.048000;0;false;false;100.000000
5;100;110.322750;-37;70;12176;97.408000;0;false;false;100.000000
6;100;123.981750;-37;70;12508;100.064000;0;false;false;100.000000
7;100;131.910250;-37;70;12660;101.280000;0;false;false;100.000000
8;100;155.774250;-40;70;12324;98.592000;0;false;false;100.000000
9;100;169.080000;-40;70;12600;100.800000;0;false;false;100.000000
10;100;181.090500;-40;70;12648;101.184000;0;false;false;100.000000
11;100;193.454250;-40;70;12180;97.440000;0;false;false;100.000000
12;100;203.227500;-40;70;12720;101.760000;0;false;false;100.000000
13;100;210.959750;-40;70;12348;98.784000;0;false;false;100.000000
14;100;219.634000;-40;70;12600;100.800000;0;false;false;100.000000
15;100;233.528500;-40;70;12504;100.032000;0;false;false;100.000000
16;100;241.457000;-40;70;12468;99.744000;0;false;false;100.000000
17;200;249.817250;-40;70;13882;111.056000;0;false;false;100.000000
18;200;257.588750;-40;70;24198;193.584000;0;false;false;100.000000
19;200;260.297000;-40;70;22802;182.416000;0;false;false;100.000000
20;200;274.348500;-40;70;27550;220.400000;0;false;false;100.000000
21;200;284.200250;-40;70;24500;196.000000;0;false;false;100.000000
22;200;296.524750;-40;70;24380;195.040000;0;false;false;100.000000
23;200;308.888500;-37;70;25593;204.744000;0;false;false;100.000000
24;200;319.525250;-37;70;24627;197.016000;0;false;false;100.000000
25;200;332.595500;-37;70;25225;201.800000;0;false;false;100.000000
26;200;334.597250;-37;70;24792;198.336000;0;false;false;100.000000
27;200;334.597250;-37;70;25083;200.664000;0;false;false;100.000000
28;200;334.597250;-37;70;25200;201.600000;0;false;false;100.000000
29;200;334.597250;-37;70;24775;198.200000;0;false;false;100.000000
30;200;334.597250;-37;70;24975;199.800000;0;false;false;100.000000
31;200;340.288500;-37;70;25100;200.800000;0;false;false;100.000000
32;200;350.729000;-37;70;24948;199.584000;0;false;false;100.000000
33;200;359.756500;-38;70;25016;200.128000;0;false;false;100.000000
34;200;368.744750;-37;70;25011;200.088000;0;false;false;100.000000
35;200;373.690250;-37;70;24850;198.800000;0;false;false;100.000000
36;200;381.304750;-37;70;25225;201.800000;0;false;false;100.000000
37;200;387.231500;-37;70;24875;199.000000;0;false;false;100.000000
38;200;387.231500;-37;70;24975;199.800000;0;false;false;100.000000
39;200;387.231500;-37;70;24975;199.800000;0;false;false;100.000000
40;200;387.231500;-37;70;25200;201.600000;0;false;false;100.000000
41;200;387.231500;-37;70;24756;198.048000;0;false;false;100.000000
42;50;387.231500;-37;70;11030;88.240000;0;false;false;100.000000
43;50;387.231500;-37;70;5268;42.144000;0;false;false;100.000000
44;50;387.231500;-37;70;6870;54.960000;0;false;false;100.000000
45;50;387.349250;-37;70;6390;51.120000;0;false;false;100.000000
46;50;394.178750;-37;70;6000;48.000000;0;false;false;100.000000
47;50;404.894000;-37;70;6336;50.688000;0;false;false;100.000000
48;50;414.353250;-40;70;6228;49.824000;0;false;false;100.000000
49;50;426.010500;-37;70;6342;50.736000;0;false;false;100.000000
50;50;437.667750;-37;70;6090;48.720000;0;false;false;100.000000
51;50;452.425750;-37;70;6354;50.832000;0;false;false;100.000000
52;50;463.141000;-37;70;6276;50.208000;0;false;false;100.000000
53;50;479.272750;-37;70;6198;49.584000;0;false;false;100.000000
54;50;494.187750;-37;70;6240;49.920000;0;false;false;100.000000
55;50;505.452500;-37;70;6282;50.256000;0;false;false;100.000000
56;50;517.384500;-39;70;6204;49.632000;0;false;false;100.000000
57;50;525.901750;-39;70;6210;49.680000;0;false;false;100.000000
58;50;536.420750;-39;70;6378;51.024000;0;false;false;100.000000
59;50;546.351000;-40;70;6078;48.624000;0;false;false;100.000000
60;50;546.782750;-37;70;6450;51.600000;0;false;false;100.000000
61;15;557.341000;-37;70;5135;41.080000;0;false;false;100.000000
62;15;559.342750;-37;70;1529;12.232000;0;false;false;100.000000
63;15;569.037500;-37;70;1921;15.368000;0;false;false;100.000000
64;15;572.962500;-37;70;2052;16.416000;0;false;false;100.000000
65;15;583.167500;-37;70;1754;14.032000;0;false;false;100.000000
66;15;590.507250;-38;70;1926;15.408000;0;false;false;100.000000
67;15;590.507250;-37;70;1901;15.208000;0;false;false;100.000000
68;15;590.507250;-37;70;1825;14.600000;0;false;false;100.000000
69;15;599.652500;-37;70;1906;15.248000;0;false;false;100.000000
70;15;608.444500;-37;70;1865;14.920000;0;false;false;100.000000
71;15;620.180250;-37;70;1891;15.128000;0;false;false;100.000000
72;15;638.078250;-37;70;1881;15.048000;0;false;false;100.000000
73;15;649.264500;-37;70;1874;14.992000;0;false;false;100.000000
74;15;664.375750;-37;70;1897;15.176000;0;false;false;100.000000
75;15;673.207000;-37;70;1909;15.272000;0;false;false;100.000000
76;15;685.767000;-37;70;1808;14.464000;0;false;false;100.000000
77;15;696.443000;-37;70;1955;15.640000;0;false;false;100.000000
78;15;696.443000;-37;70;1865;14.920000;0;false;false;100.000000
79;15;696.443000;-38;70;1394;11.152000;0;false;false;100.000000
